type,organization_name,year_created,packages,resources
access-requests,atipp-office,2026,1,2
access-requests,community-services,2022,1,2
access-requests,community-services,2023,4,6
access-requests,community-services,2024,5,9
access-requests,community-services,2025,4,5
access-requests,community-services,2026,4,6
access-requests,economic-development,2021,3,6
access-requests,economic-development,2022,7,11
access-requests,economic-development,2023,19,31
access-requests,economic-development,2024,3,3
access-requests,economic-development,2025,5,8
access-requests,education,2021,4,7
access-requests,education,2023,19,30
access-requests,education,2024,13,17
access-requests,education,2025,5,6
access-requests,energy-mines-and-resources,2022,9,11
access-requests,energy-mines-and-resources,2023,11,13
access-requests,energy-mines-and-resources,2024,12,14
access-requests,energy-mines-and-resources,2025,10,12
access-requests,energy-mines-and-resources,2026,6,10
access-requests,environment,2021,5,6
access-requests,environment,2022,42,63
access-requests,environment,2023,19,45
access-requests,environment,2024,12,21
access-requests,environment,2025,6,6
access-requests,environment,2026,5,9
access-requests,executive-council-office,2021,7,9
access-requests,executive-council-office,2022,13,17
access-requests,executive-council-office,2023,13,22
access-requests,executive-council-office,2024,1,2
access-requests,executive-council-office,2025,8,10
access-requests,finance,2023,3,6
access-requests,finance,2024,2,2
access-requests,french-language-services-directorate,2023,1,2
access-requests,health-and-social-services,2021,20,28
access-requests,health-and-social-services,2022,45,58
access-requests,health-and-social-services,2023,23,36
access-requests,health-and-social-services,2024,20,29
access-requests,health-and-social-services,2025,9,12
access-requests,health-and-social-services,2026,4,7
access-requests,highways-and-public-works,2021,8,13
access-requests,highways-and-public-works,2022,31,44
access-requests,highways-and-public-works,2023,22,41
access-requests,highways-and-public-works,2024,9,17
access-requests,highways-and-public-works,2025,11,15
access-requests,highways-and-public-works,2026,2,3
access-requests,justice,2021,6,9
access-requests,justice,2022,20,33
access-requests,justice,2023,15,24
access-requests,justice,2024,2,3
access-requests,justice,2025,2,3
access-requests,public-service-commission,2021,1,2
access-requests,public-service-commission,2022,20,35
access-requests,public-service-commission,2023,8,12
access-requests,public-service-commission,2024,4,7
access-requests,public-service-commission,2025,4,4
access-requests,public-service-commission,2026,4,6
access-requests,tourism-and-culture,2021,2,4
access-requests,tourism-and-culture,2022,7,11
access-requests,tourism-and-culture,2023,2,4
access-requests,tourism-and-culture,2024,1,1
access-requests,tourism-and-culture,2025,3,6
access-requests,women-and-gender-equity-directorate,2022,4,6
access-requests,women-and-gender-equity-directorate,2023,1,2
access-requests,women-and-gender-equity-directorate,2025,1,1
access-requests,yukon-development-corporation,2023,1,2
access-requests,yukon-development-corporation,2024,1,2
access-requests,yukon-development-corporation,2025,1,2
access-requests,yukon-energy-corporation,2021,3,8
access-requests,yukon-energy-corporation,2023,2,5
access-requests,yukon-energy-corporation,2024,6,10
access-requests,yukon-hospital-corporation,2023,4,8
access-requests,yukon-hospital-corporation,2024,11,17
access-requests,yukon-hospital-corporation,2025,4,5
access-requests,yukon-housing-corporation,2021,2,3
access-requests,yukon-housing-corporation,2022,13,18
access-requests,yukon-housing-corporation,2023,5,8
access-requests,yukon-housing-corporation,2025,4,7
access-requests,yukon-liquor-corporation,2021,5,7
access-requests,yukon-liquor-corporation,2022,7,11
